./multLibs/EQ_Add/1 : equiv,0.1668   ; equiv,0.1565   ; equiv,0.1095  
./multLibs/EQ_multiple/7: not equiv,3.6762   ; not equiv,4.1825   ; not equiv,3.9667  
./multLibs/EQ_multiple/8: not equiv,4.3921   ; not equiv,4.9197   ; not equiv,15.6987 
./multLibs/EQ_multiple/9: not equiv,6.7507   ; not equiv,7.2875   ; not equiv,70.2518 
./multLibs/EQ_multipleBound/1: equiv,1.1958   ; equiv,1.1368   ; equiv,0.2836  
./multLibs/EQ_multipleBound/10: equiv,5.9852   ; equiv,6.2402   ; equiv,76.4631 
./multLibs/EQ_multipleBound/11: equiv,7.0950   ; equiv,7.3727   ; equiv,248.1926
./multLibs/EQ_multipleBound/12: equiv,8.1265   ; equiv,8.4050   ; equiv,267.2069
./multLibs/EQ_multipleBound/2: equiv,0.6312   ; equiv,0.7446   ; equiv,0.4146  
./multLibs/EQ_multipleBound/3: equiv,1.7431   ; equiv,1.9634   ; equiv,0.6615  
./multLibs/EQ_multipleBound/4: equiv,1.8326   ; equiv,2.0359   ; equiv,0.8981  
./multLibs/EQ_multipleBound/5: equiv,2.5261   ; equiv,2.8001   ; equiv,1.0385  
./multLibs/EQ_multipleBound/6: equiv,3.1772   ; equiv,3.4463   ; equiv,1.5002  
./multLibs/EQ_multipleBound/7: equiv,3.8842   ; equiv,4.1811   ; equiv,2.5577  
./multLibs/EQ_multipleBound/8: equiv,4.3083   ; equiv,4.6228   ; equiv,6.1100  
./multLibs/EQ_multipleBound/9: equiv,4.8410   ; equiv,5.1029   ; equiv,19.9640 
./multLibs/EQ_odd/1 : equiv,2.5691   ; equiv,2.5626   ; timeout,300.0000
./multLibs/EQ_odd/10: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000
./multLibs/EQ_odd/11: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000
./multLibs/EQ_odd/12: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000
./multLibs/EQ_odd/2 : timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000
./multLibs/EQ_odd/3 : equiv,6.8627   ; equiv,7.1236   ; timeout,300.0000
./multLibs/EQ_odd/4 : equiv,11.5859  ; equiv,11.5460  ; timeout,300.0000
./multLibs/EQ_odd/5 : equiv,16.5123  ; equiv,19.4912  ; timeout,300.0000
./multLibs/EQ_odd/6 : equiv,29.8883  ; equiv,32.1304  ; timeout,300.0000
./multLibs/EQ_odd/7 : equiv,54.0082  ; equiv,78.4727  ; timeout,300.0000
./multLibs/EQ_odd/8 : equiv,126.0466 ; timeout,300.0000 ; timeout,300.0000
./multLibs/EQ_odd/9 : equiv,237.5254 ; timeout,300.0000 ; timeout,300.0000
./multLibs/EQ_one/1 : not equiv,0.4261   ; not equiv,0.8086   ; not equiv,0.1693  
./multLibs/EQ_one/10: not equiv,4.5112   ; not equiv,5.0366   ; not equiv,6.6496  
./multLibs/EQ_one/11: not equiv,5.4168   ; not equiv,6.0944   ; not equiv,15.8594 
./multLibs/EQ_one/12: not equiv,6.6810   ; not equiv,7.1288   ; not equiv,39.3204 
./multLibs/EQ_one/2 : not equiv,0.6542   ; not equiv,1.0229   ; not equiv,0.1922  
./multLibs/EQ_one/3 : not equiv,0.8330   ; not equiv,1.2108   ; not equiv,0.2265  
./multLibs/EQ_one/4 : not equiv,1.1085   ; not equiv,1.4860   ; not equiv,0.2696  
./multLibs/EQ_one/5 : not equiv,1.6181   ; not equiv,2.0371   ; not equiv,0.3176  
./multLibs/EQ_one/6 : not equiv,1.9915   ; not equiv,2.3757   ; not equiv,0.4204  
./multLibs/EQ_one/7 : not equiv,2.5463   ; not equiv,2.9828   ; not equiv,0.6873  
./multLibs/EQ_one/8 : not equiv,3.1310   ; not equiv,3.5348   ; not equiv,1.2080  
./multLibs/EQ_one/9 : not equiv,3.7825   ; not equiv,4.2679   ; not equiv,2.8718  
./multLibs/EQ_oneBound/1: equiv,1.7911   ; equiv,3.1721   ; equiv,0.1755  
./multLibs/EQ_oneBound/10: equiv,5.6580   ; equiv,5.9506   ; timeout,300.0000
./multLibs/EQ_oneBound/11: equiv,7.0883   ; equiv,7.4077   ; timeout,300.0000
./multLibs/EQ_oneBound/12: equiv,8.7780   ; equiv,8.9363   ; timeout,300.0000
./multLibs/EQ_oneBound/2: equiv,0.5152   ; equiv,0.6963   ; equiv,0.2753  
./multLibs/EQ_oneBound/3: equiv,0.7321   ; equiv,0.9011   ; equiv,0.6999  
./multLibs/EQ_oneBound/4: equiv,1.0832   ; equiv,1.2711   ; equiv,3.0929  
./multLibs/EQ_oneBound/5: equiv,1.5093   ; equiv,1.7273   ; equiv,17.7334 
./multLibs/EQ_oneBound/6: equiv,2.0526   ; equiv,2.2462   ; equiv,113.0154
./multLibs/EQ_oneBound/7: equiv,2.7092   ; equiv,2.9576   ; timeout,300.0000
./multLibs/EQ_oneBound/8: equiv,3.5432   ; equiv,3.8804   ; timeout,300.0000
./multLibs/EQ_oneBound/9: equiv,4.6100   ; equiv,4.8028   ; timeout,300.0000
./multLibs/EQ_oneN2/1: not equiv,0.4544   ; not equiv,0.7588   ; not equiv,0.1569  
./multLibs/EQ_oneN2/10: not equiv,5.2832   ; not equiv,5.7712   ; not equiv,141.6567
./multLibs/EQ_oneN2/11: not equiv,6.2494   ; not equiv,6.6825   ; not equiv,137.5928
./multLibs/EQ_oneN2/12: equiv,7.8969   ; not equiv,7.9744   ; not equiv,153.8000
./multLibs/EQ_oneN2/2: not equiv,0.6854   ; not equiv,1.0110   ; not equiv,0.2095  
./multLibs/EQ_oneN2/3: not equiv,0.9729   ; not equiv,1.3190   ; not equiv,0.2841  
./multLibs/EQ_oneN2/4: not equiv,1.2529   ; not equiv,1.6852   ; not equiv,0.3643  
./multLibs/EQ_oneN2/5: not equiv,1.6708   ; not equiv,2.0746   ; not equiv,0.4475  
./multLibs/EQ_oneN2/6: not equiv,2.1473   ; not equiv,2.5043   ; not equiv,1.1338  
./multLibs/EQ_oneN2/7: not equiv,2.7543   ; not equiv,3.1122   ; not equiv,4.2348  
./multLibs/EQ_oneN2/8: not equiv,3.3916   ; not equiv,3.8039   ; not equiv,13.3796 
./multLibs/EQ_oneN2/9: not equiv,4.2444   ; not equiv,4.7114   ; not equiv,44.1600 
./multLibs/EQ_pos/1 : equiv,1.6071   ; equiv,2.6339   ; timeout,300.0000
./multLibs/EQ_pos/10: equiv,168.2387 ; equiv,184.0770 ; timeout,300.0000
./multLibs/EQ_pos/11: equiv,274.9050 ; equiv,284.6423 ; timeout,300.0000
./multLibs/EQ_pos/12: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000
./multLibs/EQ_pos/2 : equiv,3.8929   ; equiv,4.1908   ; timeout,300.0000
./multLibs/EQ_pos/3 : equiv,8.9821   ; equiv,9.3594   ; timeout,300.0000
./multLibs/EQ_pos/4 : equiv,16.8905  ; equiv,17.5811  ; timeout,300.0000
./multLibs/EQ_pos/5 : equiv,28.9292  ; equiv,29.5652  ; timeout,300.0000
./multLibs/EQ_pos/6 : equiv,46.9957  ; equiv,45.5738  ; timeout,300.0000
./multLibs/EQ_pos/7 : equiv,66.5694  ; equiv,59.0093  ; timeout,300.0000
./multLibs/EQ_pos/8 : equiv,75.6009  ; equiv,83.8280  ; timeout,300.0000
./multLibs/EQ_pos/9 : equiv,119.2259 ; equiv,112.6046 ; timeout,300.0000
./multLibs/EQ_pos2/1: equiv,31.4353  ; equiv,31.7800  ; timeout,300.0000
./multLibs/EQ_pos2/10: equiv,82.7768  ; equiv,83.2679  ; timeout,300.0000
./multLibs/EQ_pos2/11: equiv,88.0618  ; equiv,88.5035  ; timeout,300.0000
./multLibs/EQ_pos2/12: equiv,94.9587  ; equiv,95.2416  ; timeout,300.0000
./multLibs/EQ_pos2/2: equiv,43.0923  ; equiv,43.5552  ; timeout,300.0000
./multLibs/EQ_pos2/3: equiv,63.2942  ; equiv,63.8083  ; timeout,300.0000
./multLibs/EQ_pos2/4: equiv,73.1669  ; equiv,73.6828  ; timeout,300.0000
./multLibs/EQ_pos2/5: equiv,80.8022  ; equiv,81.5902  ; timeout,300.0000
./multLibs/EQ_pos2/6: equiv,90.5479  ; equiv,91.5505  ; timeout,300.0000
./multLibs/EQ_pos2/7: equiv,70.8513  ; equiv,71.4584  ; timeout,300.0000
./multLibs/EQ_pos2/8: equiv,74.4768  ; equiv,74.9457  ; timeout,300.0000
./multLibs/EQ_pos2/9: equiv,79.3188  ; equiv,79.4713  ; timeout,300.0000
./multLibs/EQ_pos3/1: not equiv,1.2348   ; not equiv,1.2409   ; equiv,0.1267  
./multLibs/EQ_pos3/10: equiv,3.0605   ; equiv,3.2924   ; equiv,0.7971  
./multLibs/EQ_pos3/11: equiv,3.6637   ; equiv,3.8986   ; equiv,1.6723  
./multLibs/EQ_pos3/12: equiv,4.3159   ; equiv,4.5876   ; equiv,3.9804  
./multLibs/EQ_pos3/2: equiv,0.2484   ; equiv,0.3844   ; equiv,0.1314  
./multLibs/EQ_pos3/3: equiv,0.3051   ; equiv,0.4714   ; equiv,0.1410  
./multLibs/EQ_pos3/4: equiv,0.4109   ; equiv,0.5853   ; equiv,0.1525  
./multLibs/EQ_pos3/5: equiv,1.1027   ; equiv,1.3261   ; equiv,0.1602  
./multLibs/EQ_pos3/6: equiv,1.3209   ; equiv,1.5758   ; equiv,0.1873  
./multLibs/EQ_pos3/7: equiv,1.6967   ; equiv,1.8429   ; equiv,0.2372  
./multLibs/EQ_pos3/8: equiv,2.1351   ; equiv,2.3619   ; equiv,0.2955  
./multLibs/EQ_pos3/9: equiv,2.5692   ; equiv,2.7807   ; equiv,0.4490  
./multLibs/EXTRAS_prime_sum/1: equiv,34.8714  ; equiv,35.0078  ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/10: timeout,300.0000 ; equiv,130.3268 ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/11: timeout,300.0000 ; equiv,142.8297 ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/12: timeout,300.0000 ; equiv,176.8279 ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/2: equiv,68.2680  ; equiv,42.2554  ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/3: equiv,93.2435  ; equiv,46.5146  ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/4: equiv,123.1875 ; equiv,47.8323  ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/5: equiv,149.4759 ; equiv,70.9941  ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/6: equiv,178.9531 ; equiv,77.1144  ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/7: equiv,209.1771 ; equiv,82.7348  ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/8: equiv,240.2446 ; equiv,95.8092  ; timeout,300.0000
./multLibs/EXTRAS_prime_sum/9: equiv,272.5088 ; equiv,118.4912 ; timeout,300.0000
./multLibs/NEQ_LoopMult20/1: not equiv,1.8799   ; not equiv,1.8467   ; not equiv,0.2525  
./multLibs/NEQ_LoopMult20/10: not equiv,7.2635   ; not equiv,6.7703   ; not equiv,4.9655  
./multLibs/NEQ_LoopMult20/11: not equiv,6.9185   ; not equiv,6.8292   ; not equiv,11.5883 
./multLibs/NEQ_LoopMult20/12: not equiv,8.2531   ; not equiv,8.4195   ; not equiv,27.6295 
./multLibs/NEQ_LoopMult20/2: not equiv,0.8370   ; not equiv,1.1979   ; not equiv,0.2929  
./multLibs/NEQ_LoopMult20/3: not equiv,1.4291   ; not equiv,1.8415   ; not equiv,0.3627  
./multLibs/NEQ_LoopMult20/4: not equiv,1.7688   ; not equiv,2.3061   ; not equiv,0.4371  
./multLibs/NEQ_LoopMult20/5: not equiv,2.6268   ; not equiv,2.8827   ; not equiv,0.5072  
./multLibs/NEQ_LoopMult20/6: not equiv,2.9808   ; not equiv,3.3598   ; not equiv,0.6701  
./multLibs/NEQ_LoopMult20/7: not equiv,3.7279   ; not equiv,4.0152   ; not equiv,0.9342  
./multLibs/NEQ_LoopMult20/8: not equiv,4.2162   ; not equiv,4.6744   ; not equiv,1.3827  
./multLibs/NEQ_LoopMult20/9: not equiv,5.2927   ; not equiv,5.1439   ; not equiv,2.4442  
./multLibs/NEQ_LoopUnreach20/1: not equiv,0.4351   ; not equiv,0.4131   ; not equiv,0.1391  
./multLibs/NEQ_LoopUnreach20/10: not equiv,4.0032   ; not equiv,4.9614   ; not equiv,4.9995  
./multLibs/NEQ_LoopUnreach20/11: not equiv,4.7009   ; not equiv,5.3588   ; not equiv,11.2803 
./multLibs/NEQ_LoopUnreach20/12: not equiv,5.6150   ; not equiv,6.2421   ; not equiv,28.4764 
./multLibs/NEQ_LoopUnreach20/2: not equiv,0.5603   ; not equiv,0.9334   ; not equiv,0.1633  
./multLibs/NEQ_LoopUnreach20/3: not equiv,0.6474   ; not equiv,1.0293   ; not equiv,0.1855  
./multLibs/NEQ_LoopUnreach20/4: not equiv,1.1656   ; not equiv,1.5188   ; not equiv,0.2042  
./multLibs/NEQ_LoopUnreach20/5: not equiv,1.4689   ; not equiv,1.8816   ; not equiv,0.2419  
./multLibs/NEQ_LoopUnreach20/6: not equiv,1.8461   ; not equiv,2.3089   ; not equiv,0.3034  
./multLibs/NEQ_LoopUnreach20/7: not equiv,2.4594   ; not equiv,2.8871   ; not equiv,0.4505  
./multLibs/NEQ_LoopUnreach20/8: not equiv,2.7692   ; not equiv,3.2100   ; not equiv,0.8254  
./multLibs/NEQ_LoopUnreach20/9: not equiv,3.3094   ; not equiv,3.8233   ; not equiv,1.7768  
./multLibs/NEQ_getSign/1: not equiv,0.4141   ; not equiv,0.4089   ; not equiv,0.1353  
./multLibs/NEQ_getSign/10: not equiv,0.6290   ; not equiv,0.9834   ; not equiv,3.5790  
./multLibs/NEQ_getSign/11: not equiv,0.7040   ; not equiv,1.0421   ; not equiv,9.4990  
./multLibs/NEQ_getSign/12: not equiv,0.7538   ; not equiv,1.0115   ; not equiv,19.8373 
./multLibs/NEQ_getSign/2: not equiv,0.4318   ; not equiv,0.7225   ; not equiv,0.1651  
./multLibs/NEQ_getSign/3: not equiv,0.4548   ; not equiv,0.7859   ; not equiv,0.1934  
./multLibs/NEQ_getSign/4: not equiv,0.4566   ; not equiv,0.8230   ; not equiv,0.1999  
./multLibs/NEQ_getSign/5: not equiv,0.4968   ; not equiv,0.8246   ; not equiv,0.2289  
./multLibs/NEQ_getSign/6: not equiv,0.5081   ; not equiv,0.8490   ; not equiv,0.3028  
./multLibs/NEQ_getSign/7: not equiv,0.5391   ; not equiv,0.9092   ; not equiv,0.4002  
./multLibs/NEQ_getSign/8: not equiv,0.5770   ; not equiv,0.8970   ; not equiv,0.7039  
./multLibs/NEQ_getSign/9: not equiv,0.6260   ; not equiv,0.9394   ; not equiv,1.4655  
