./mergedHard/EQ_AddEQ_UnchLoop/libA: equiv,0.1675  , equiv,0.3025  , equiv,0.0731  
./mergedHard/EQ_AddEQ_UnchLoop/libB: equiv,30.3507 , equiv,30.7126 , equiv,0.0989  
./mergedHard/EQ_AddEQ_odd/libA: equiv,0.1783  , equiv,0.3822  , equiv,0.0955  
./mergedHard/EQ_AddEQ_odd/libB: equiv,1.9824  , equiv,2.5151  , timeout,200.0000
./mergedHard/EQ_AddEQ_pos/libA: equiv,0.2491  , equiv,0.3674  , equiv,0.1070  
./mergedHard/EQ_AddEQ_pos/libB: not equiv,0.5096  , not equiv,0.8699  , not equiv,0.1657  
./mergedHard/EQ_AddEQ_pos2/libA: equiv,0.2274  , equiv,0.3395  , equiv,0.1119  
./mergedHard/EQ_AddEQ_pos2/libB: equiv,32.9841 , equiv,33.4523 , timeout,200.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libA: equiv,0.3221  , equiv,0.4012  , timeout,200.0000
./mergedHard/EQ_AddEXTRA_prime_sum/libB: not equiv,6.1290  , not equiv,4.0775  , not equiv,0.1317  
./mergedHard/EQ_ConstEQ_UnchLoop/libA: equiv,0.1532  , equiv,0.2860  , equiv,0.0991  
./mergedHard/EQ_ConstEQ_UnchLoop/libB: equiv,30.3218 , equiv,30.6467 , equiv,0.1157  
./mergedHard/EQ_ConstEQ_odd/libA: equiv,0.1834  , equiv,0.3893  , equiv,0.0970  
./mergedHard/EQ_ConstEQ_odd/libB: equiv,2.0104  , equiv,2.7305  , timeout,200.0000
./mergedHard/EQ_ConstEQ_pos/libA: equiv,0.2474  , equiv,0.3881  , equiv,0.1127  
./mergedHard/EQ_ConstEQ_pos/libB: not equiv,0.5075  , not equiv,0.8399  , not equiv,0.1684  
./mergedHard/EQ_ConstEQ_pos2/libA: equiv,0.2194  , equiv,0.3892  , equiv,0.1046  
./mergedHard/EQ_ConstEQ_pos2/libB: equiv,33.0759 , equiv,33.5222 , timeout,200.0000
./mergedHard/EQ_ConstEXTRA_prime_sum/libA: equiv,0.3259  , equiv,0.3844  , timeout,200.0000
./mergedHard/EQ_ConstEXTRA_prime_sum/libB: not equiv,6.1168  , not equiv,4.0980  , not equiv,0.1379  
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libA: equiv,0.3802  , equiv,0.5288  , equiv,0.2891  
./mergedHard/EQ_LoopMult20EQ_UnchLoop/libB: equiv,0.4125  , equiv,0.5567  , equiv,0.2501  
./mergedHard/EQ_LoopMult20EQ_odd/libA: timeout,200.0000, timeout,200.0000, timeout,200.0000
./mergedHard/EQ_LoopMult20EQ_odd/libB: not equiv,1.0901  , not equiv,1.4748  , not equiv,2.3882  
./mergedHard/EQ_LoopMult20EQ_pos/libA: equiv,0.6526  , equiv,0.8421  , equiv,0.2922  
./mergedHard/EQ_LoopMult20EQ_pos/libB: not equiv,0.6124  , not equiv,0.9533  , not equiv,0.2665  
./mergedHard/EQ_LoopMult20EQ_pos2/libA: equiv,0.6363  , equiv,0.8342  , equiv,0.2866  
./mergedHard/EQ_LoopMult20EQ_pos2/libB: equiv,37.6973 , equiv,38.0567 , timeout,200.0000
./mergedHard/EQ_LoopMult20EXTRA_prime_sum/libA: timeout,200.0000, equiv,169.6358, timeout,200.0000
./mergedHard/EQ_LoopMult20EXTRA_prime_sum/libB: not equiv,70.3607 , not equiv,76.2351 , not equiv,2.5798  
./mergedHard/EQ_LoopUnreach20EQ_UnchLoop/libA: equiv,0.2286  , equiv,0.3766  , equiv,0.1191  
./mergedHard/EQ_LoopUnreach20EQ_UnchLoop/libB: equiv,0.4160  , equiv,0.6054  , equiv,0.2464  
./mergedHard/EQ_LoopUnreach20EQ_odd/libA: equiv,0.2491  , equiv,0.3872  , equiv,0.1329  
./mergedHard/EQ_LoopUnreach20EQ_odd/libB: not equiv,1.0864  , not equiv,1.4735  , not equiv,2.3200  
./mergedHard/EQ_LoopUnreach20EQ_pos/libA: equiv,0.3182  , equiv,0.4503  , equiv,0.1603  
./mergedHard/EQ_LoopUnreach20EQ_pos/libB: not equiv,0.5906  , not equiv,0.9530  , not equiv,0.2680  
./mergedHard/EQ_LoopUnreach20EQ_pos2/libA: equiv,0.3090  , equiv,0.4547  , equiv,0.1513  
./mergedHard/EQ_LoopUnreach20EQ_pos2/libB: equiv,37.6459 , equiv,38.0114 , timeout,200.0000
./mergedHard/EQ_LoopUnreach20EXTRA_prime_sum/libA: equiv,2.1206  , equiv,2.3123  , timeout,200.0000
./mergedHard/EQ_LoopUnreach20EXTRA_prime_sum/libB: not equiv,65.6189 , not equiv,78.6758 , not equiv,2.5704  
./mergedHard/EQ_UnchLoopEQ_Add/libA: equiv,30.3617 , equiv,30.7116 , equiv,0.0951  
./mergedHard/EQ_UnchLoopEQ_Add/libB: equiv,0.1273  , equiv,0.3203  , equiv,0.0908  
./mergedHard/EQ_UnchLoopEQ_Const/libA: equiv,30.3376 , equiv,30.7810 , equiv,0.1495  
./mergedHard/EQ_UnchLoopEQ_Const/libB: equiv,0.2245  , equiv,0.4449  , equiv,0.1282  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libA: equiv,0.7623  , equiv,1.0701  , equiv,0.4619  
./mergedHard/EQ_UnchLoopEQ_LoopMult20/libB: equiv,0.6639  , equiv,0.9260  , equiv,0.5690  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libA: equiv,0.7822  , equiv,1.0690  , equiv,0.4656  
./mergedHard/EQ_UnchLoopEQ_LoopUnreach20/libB: equiv,0.3849  , equiv,0.5954  , equiv,0.1882  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libA: equiv,30.5419 , equiv,30.9773 , equiv,0.1608  
./mergedHard/EQ_UnchLoopEQ_UnchLoop/libB: equiv,30.5930 , equiv,31.2351 , equiv,0.3229  
./mergedHard/EQ_UnchLoopEQ_divide/libA: equiv,0.6713  , equiv,0.8994  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_divide/libB: equiv,0.2211  , equiv,0.3457  , equiv,0.1074  
./mergedHard/EQ_UnchLoopEQ_getSign2/libA: equiv,0.2190  , equiv,0.3801  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_getSign2/libB: equiv,0.2272  , equiv,0.3664  , equiv,0.1208  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA: equiv,30.3156 , equiv,30.7038 , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_is_prime1/libB: equiv,0.1703  , equiv,0.2876  , not equiv,0.1089  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libA: equiv,60.6493 , equiv,30.9583 , equiv,0.1434  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libB: equiv,2.7159  , equiv,1.8543  , equiv,0.1488  
./mergedHard/EQ_UnchLoopEQ_ltfive/libA: equiv,0.6656  , equiv,0.9294  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_ltfive/libB: not equiv,0.5545  , not equiv,0.8744  , not equiv,0.1577  
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA: timeout,200.0000, timeout,200.0000, equiv,19.4777 
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libB: equiv,0.3316  , equiv,0.4681  , equiv,0.1491  
./mergedHard/EQ_UnchLoopEQ_multiple/libA: equiv,0.2479  , equiv,0.4108  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_multiple/libB: not equiv,0.6420  , not equiv,0.9924  , not equiv,0.2400  
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA: timeout,200.0000, timeout,200.0000, timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_multipleBound/libB: not equiv,0.6417  , not equiv,0.9965  , not equiv,0.2062  
./mergedHard/EQ_UnchLoopEQ_odd/libA: equiv,0.2417  , equiv,0.3674  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_odd/libB: equiv,1.8062  , equiv,2.2056  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_one/libA: equiv,0.3017  , equiv,0.4018  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_one/libB: not equiv,0.5133  , not equiv,0.7863  , not equiv,0.1440  
./mergedHard/EQ_UnchLoopEQ_oneBound/libA: equiv,0.2929  , equiv,0.4312  , equiv,2.6730  
./mergedHard/EQ_UnchLoopEQ_oneBound/libB: not equiv,0.5130  , not equiv,0.8598  , not equiv,0.1390  
./mergedHard/EQ_UnchLoopEQ_oneN2/libA: equiv,0.2849  , equiv,0.4289  , timeout,200.0000
./mergedHard/EQ_UnchLoopEQ_oneN2/libB: not equiv,0.5221  , not equiv,0.8114  , not equiv,0.1411  
./mergedHard/EQ_UnchLoopEQ_pos/libA: equiv,0.2387  , equiv,0.3923  , equiv,0.1231  
./mergedHard/EQ_UnchLoopEQ_pos/libB: not equiv,0.5234  , not equiv,0.8481  , not equiv,0.1690  
./mergedHard/EQ_UnchLoopEQ_pos2/libA: equiv,0.2451  , equiv,0.3791  , equiv,0.1141  
./mergedHard/EQ_UnchLoopEQ_pos2/libB: equiv,33.0172 , equiv,33.3617 , timeout,200.0000
./mergedHard/EQ_UnchLoopEXTRA_prime_sum/libA: equiv,60.7186 , equiv,30.9163 , timeout,200.0000
./mergedHard/EQ_UnchLoopEXTRA_prime_sum/libB: not equiv,5.9596  , not equiv,4.1607  , not equiv,0.1318  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.4174  , equiv,0.5993  , equiv,0.2565  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libB: not equiv,0.5895  , not equiv,0.9520  , not equiv,0.1323  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.4108  , equiv,0.6233  , equiv,0.2511  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libB: not equiv,0.4581  , not equiv,0.8302  , not equiv,0.1291  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,30.3268 , equiv,30.7649 , timeout,200.0000
./mergedHard/EQ_UnchLoopNEQ_getSign/libB: not equiv,0.4078  , not equiv,0.7497  , not equiv,0.1246  
./mergedHard/EQ_divideEQ_UnchLoop/libA: equiv,0.1972  , equiv,0.3248  , equiv,0.1091  
./mergedHard/EQ_divideEQ_UnchLoop/libB: equiv,0.2256  , equiv,0.3186  , timeout,200.0000
./mergedHard/EQ_divideEQ_odd/libA: equiv,0.2778  , equiv,0.3989  , equiv,0.1390  
./mergedHard/EQ_divideEQ_odd/libB: not equiv,0.7316  , not equiv,1.0899  , not equiv,1.1558  
./mergedHard/EQ_divideEQ_pos/libA: equiv,0.2963  , equiv,0.4496  , equiv,0.1343  
./mergedHard/EQ_divideEQ_pos/libB: not equiv,0.6014  , not equiv,1.0032  , not equiv,0.2810  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,0.2839  , equiv,0.4545  , equiv,0.1269  
./mergedHard/EQ_divideEQ_pos2/libB: equiv,37.7701 , equiv,38.1830 , timeout,200.0000
./mergedHard/EQ_divideEXTRA_prime_sum/libA: equiv,0.4008  , equiv,0.4831  , equiv,0.1160  
./mergedHard/EQ_divideEXTRA_prime_sum/libB: not equiv,41.8053 , not equiv,53.2184 , timeout,200.0000
./mergedHard/EQ_getSign2EQ_UnchLoop/libA: equiv,0.2147  , equiv,0.3615  , equiv,0.1300  
./mergedHard/EQ_getSign2EQ_UnchLoop/libB: equiv,0.2180  , equiv,0.3807  , timeout,200.0000
./mergedHard/EQ_getSign2EQ_odd/libA: not equiv,0.5168  , not equiv,0.8602  , not equiv,0.1552  
./mergedHard/EQ_getSign2EQ_odd/libB: not equiv,1.6637  , not equiv,2.0481  , not equiv,2.2659  
./mergedHard/EQ_getSign2EQ_pos/libA: not equiv,0.5666  , not equiv,0.8970  , not equiv,0.1691  
./mergedHard/EQ_getSign2EQ_pos/libB: not equiv,0.5948  , not equiv,0.9771  , not equiv,0.2008  
./mergedHard/EQ_getSign2EQ_pos2/libA: not equiv,0.5588  , not equiv,0.9050  , not equiv,0.1737  
./mergedHard/EQ_getSign2EQ_pos2/libB: equiv,37.7026 , equiv,38.0390 , timeout,200.0000
./mergedHard/EQ_getSign2EXTRA_prime_sum/libA: equiv,1.9525  , equiv,2.2640  , timeout,200.0000
./mergedHard/EQ_getSign2EXTRA_prime_sum/libB: not equiv,39.7108 , not equiv,46.4096 , timeout,200.0000
./mergedHard/EQ_is_prime1EQ_UnchLoop/libA: equiv,0.1729  , equiv,0.3280  , not equiv,0.1040  
./mergedHard/EQ_is_prime1EQ_UnchLoop/libB: equiv,30.3100 , equiv,30.7364 , timeout,200.0000
./mergedHard/EQ_is_prime1EQ_odd/libA: equiv,0.2180  , equiv,0.3152  , not equiv,0.2563  
./mergedHard/EQ_is_prime1EQ_odd/libB: equiv,1.4918  , equiv,2.4148  , not equiv,0.4177  
./mergedHard/EQ_is_prime1EQ_pos/libA: equiv,0.2290  , equiv,0.3801  , equiv,1.0961  
./mergedHard/EQ_is_prime1EQ_pos/libB: not equiv,0.5723  , not equiv,0.9091  , not equiv,0.2367  
./mergedHard/EQ_is_prime1EQ_pos2/libA: equiv,0.2336  , equiv,0.3710  , equiv,1.1072  
./mergedHard/EQ_is_prime1EQ_pos2/libB: equiv,38.2365 , equiv,39.0018 , timeout,200.0000
./mergedHard/EQ_is_prime1EXTRA_prime_sum/libA: equiv,0.3329  , equiv,0.4510  , not equiv,0.1571  
./mergedHard/EQ_is_prime1EXTRA_prime_sum/libB: not equiv,44.5455 , not equiv,46.3943 , not equiv,67.1913 
./mergedHard/EQ_is_prime3EQ_UnchLoop/libA: equiv,1.4839  , equiv,1.0865  , not equiv,0.6284  
./mergedHard/EQ_is_prime3EQ_UnchLoop/libB: equiv,60.7030 , equiv,30.8906 , timeout,200.0000
./mergedHard/EQ_is_prime3EQ_odd/libA: not equiv,2.2302  , not equiv,2.6642  , not equiv,0.8575  
./mergedHard/EQ_is_prime3EQ_odd/libB: equiv,2.9002  , equiv,5.0562  , not equiv,0.9740  
./mergedHard/EQ_is_prime3EQ_pos/libA: not equiv,3.3128  , not equiv,4.3303  , equiv,1.8187  
./mergedHard/EQ_is_prime3EQ_pos/libB: not equiv,1.4529  , not equiv,2.2105  , not equiv,0.3423  
./mergedHard/EQ_is_prime3EQ_pos2/libA: not equiv,2.6219  , not equiv,4.6509  , equiv,1.8601  
./mergedHard/EQ_is_prime3EQ_pos2/libB: equiv,112.6622, equiv,40.8572 , timeout,200.0000
./mergedHard/EQ_is_prime3EXTRA_prime_sum/libA: equiv,1.6725  , equiv,1.3796  , not equiv,0.6657  
./mergedHard/EQ_is_prime3EXTRA_prime_sum/libB: equiv,37.4384 , equiv,36.6287 , timeout,200.0000
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.3329  , equiv,0.4309  , equiv,0.1525  
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libB: timeout,200.0000, timeout,200.0000, equiv,19.6973 
./mergedHard/EQ_ltfiveBoundEQ_odd/libA: not equiv,0.6583  , not equiv,0.9534  , not equiv,0.1711  
./mergedHard/EQ_ltfiveBoundEQ_odd/libB: not equiv,1.5151  , not equiv,1.9591  , timeout,200.0000
./mergedHard/EQ_ltfiveBoundEQ_pos/libA: not equiv,0.6877  , not equiv,1.0084  , not equiv,0.1768  
./mergedHard/EQ_ltfiveBoundEQ_pos/libB: not equiv,1.2541  , not equiv,1.6387  , not equiv,0.4499  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libA: not equiv,0.6973  , not equiv,1.0719  , not equiv,0.1804  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libB: equiv,44.7197 , equiv,45.3382 , timeout,200.0000
./mergedHard/EQ_ltfiveBoundEXTRA_prime_sum/libA: equiv,11.3989 , equiv,11.4080 , timeout,200.0000
./mergedHard/EQ_ltfiveBoundEXTRA_prime_sum/libB: timeout,200.0000, not equiv,66.8391 , not equiv,87.4262 
./mergedHard/EQ_ltfiveEQ_UnchLoop/libA: not equiv,0.5602  , not equiv,0.8873  , not equiv,0.1580  
./mergedHard/EQ_ltfiveEQ_UnchLoop/libB: equiv,0.3593  , equiv,0.5118  , timeout,200.0000
./mergedHard/EQ_ltfiveEQ_odd/libA: not equiv,0.6306  , not equiv,0.9744  , not equiv,0.2044  
./mergedHard/EQ_ltfiveEQ_odd/libB: not equiv,2.1399  , not equiv,2.4918  , not equiv,9.9050  
./mergedHard/EQ_ltfiveEQ_pos/libA: not equiv,0.6744  , not equiv,1.0278  , not equiv,0.1952  
./mergedHard/EQ_ltfiveEQ_pos/libB: not equiv,0.8567  , not equiv,1.2013  , not equiv,0.3433  
./mergedHard/EQ_ltfiveEQ_pos2/libA: not equiv,0.6652  , not equiv,0.9591  , not equiv,0.1906  
./mergedHard/EQ_ltfiveEQ_pos2/libB: equiv,44.5698 , equiv,44.9302 , timeout,200.0000
./mergedHard/EQ_ltfiveEXTRA_prime_sum/libA: not equiv,1.1136  , not equiv,1.7772  , not equiv,0.1793  
./mergedHard/EQ_ltfiveEXTRA_prime_sum/libB: not equiv,53.2950 , not equiv,54.2070 , timeout,200.0000
./mergedHard/EQ_multipleBoundEQ_UnchLoop/libA: not equiv,0.6402  , not equiv,0.9774  , not equiv,0.2021  
./mergedHard/EQ_multipleBoundEQ_UnchLoop/libB: timeout,200.0000, timeout,200.0000, timeout,200.0000
./mergedHard/EQ_multipleBoundEQ_odd/libA: not equiv,0.8868  , not equiv,1.2282  , not equiv,0.3798  
./mergedHard/EQ_multipleBoundEQ_odd/libB: equiv,3.0589  , equiv,3.4048  , timeout,200.0000
./mergedHard/EQ_multipleBoundEQ_pos/libA: not equiv,0.7306  , not equiv,1.1512  , not equiv,0.2407  
./mergedHard/EQ_multipleBoundEQ_pos/libB: not equiv,1.3482  , not equiv,1.7038  , not equiv,0.6667  
./mergedHard/EQ_multipleBoundEQ_pos2/libA: not equiv,0.8044  , not equiv,1.1387  , not equiv,0.2322  
./mergedHard/EQ_multipleBoundEQ_pos2/libB: equiv,37.8901 , equiv,38.2600 , timeout,200.0000
./mergedHard/EQ_multipleBoundEXTRA_prime_sum/libA: not equiv,2.9560  , not equiv,2.8093  , not equiv,0.3307  
./mergedHard/EQ_multipleBoundEXTRA_prime_sum/libB: equiv,35.6256 , equiv,25.9307 , timeout,200.0000
./mergedHard/EQ_multipleEQ_UnchLoop/libA: not equiv,0.6013  , not equiv,0.9216  , not equiv,0.2418  
./mergedHard/EQ_multipleEQ_UnchLoop/libB: equiv,0.2476  , equiv,0.4233  , timeout,200.0000
./mergedHard/EQ_multipleEQ_odd/libA: not equiv,2.4277  , not equiv,3.5658  , not equiv,0.3617  
./mergedHard/EQ_multipleEQ_odd/libB: timeout,200.0000, equiv,3.4444  , timeout,200.0000
./mergedHard/EQ_multipleEQ_pos/libA: not equiv,0.7962  , not equiv,1.1479  , not equiv,0.2964  
./mergedHard/EQ_multipleEQ_pos/libB: not equiv,0.6106  , not equiv,0.9273  , not equiv,0.2569  
./mergedHard/EQ_multipleEQ_pos2/libA: not equiv,0.8025  , not equiv,1.1597  , not equiv,0.3019  
./mergedHard/EQ_multipleEQ_pos2/libB: equiv,37.6551 , equiv,38.0788 , timeout,200.0000
./mergedHard/EQ_multipleEXTRA_prime_sum/libA: not equiv,1.1960  , not equiv,1.8138  , not equiv,0.2542  
./mergedHard/EQ_multipleEXTRA_prime_sum/libB: equiv,46.2170 , equiv,42.4491 , timeout,200.0000
./mergedHard/EQ_oddEQ_Add/libA: equiv,1.8285  , equiv,2.1385  , timeout,200.0000
./mergedHard/EQ_oddEQ_Add/libB: equiv,0.2064  , equiv,0.3532  , equiv,0.1114  
./mergedHard/EQ_oddEQ_Const/libA: equiv,1.7958  , equiv,2.1523  , timeout,200.0000
./mergedHard/EQ_oddEQ_Const/libB: equiv,0.2123  , equiv,0.3189  , equiv,0.1035  
./mergedHard/EQ_oddEQ_LoopMult20/libA: not equiv,1.1258  , not equiv,1.5316  , not equiv,0.4148  
./mergedHard/EQ_oddEQ_LoopMult20/libB: timeout,200.0000, timeout,200.0000, timeout,200.0000
./mergedHard/EQ_oddEQ_LoopUnreach20/libA: not equiv,1.1442  , not equiv,1.5149  , not equiv,0.4142  
./mergedHard/EQ_oddEQ_LoopUnreach20/libB: equiv,0.2583  , equiv,0.4007  , equiv,0.1319  
./mergedHard/EQ_oddEQ_UnchLoop/libA: equiv,1.8033  , equiv,2.1795  , timeout,200.0000
./mergedHard/EQ_oddEQ_UnchLoop/libB: equiv,0.2640  , equiv,0.3773  , timeout,200.0000
./mergedHard/EQ_oddEQ_divide/libA: not equiv,0.8064  , not equiv,1.1410  , not equiv,0.5103  
./mergedHard/EQ_oddEQ_divide/libB: equiv,0.2553  , equiv,0.4060  , equiv,0.1467  
./mergedHard/EQ_oddEQ_getSign2/libA: not equiv,1.1531  , not equiv,1.5367  , not equiv,0.5737  
./mergedHard/EQ_oddEQ_getSign2/libB: not equiv,0.4890  , not equiv,0.8584  , not equiv,0.1518  
./mergedHard/EQ_oddEQ_is_prime1/libA: equiv,1.5044  , equiv,2.3118  , not equiv,0.4235  
./mergedHard/EQ_oddEQ_is_prime1/libB: equiv,0.1891  , equiv,0.2905  , not equiv,0.2206  
./mergedHard/EQ_oddEQ_is_prime3/libA: equiv,3.0796  , equiv,3.7405  , equiv,0.1127  
./mergedHard/EQ_oddEQ_is_prime3/libB: equiv,1.4491  , equiv,1.1061  , equiv,0.1006  
./mergedHard/EQ_oddEQ_ltfive/libA: equiv,0.6687  , equiv,0.8356  , not equiv,2.1008  
./mergedHard/EQ_oddEQ_ltfive/libB: not equiv,0.6318  , not equiv,0.9566  , not equiv,0.1941  
./mergedHard/EQ_oddEQ_ltfiveBound/libA: not equiv,1.7727  , not equiv,2.1351  , not equiv,1.6769  
./mergedHard/EQ_oddEQ_ltfiveBound/libB: not equiv,0.6489  , not equiv,1.0235  , not equiv,0.1749  
./mergedHard/EQ_oddEQ_multiple/libA: equiv,3.2828  , equiv,3.6672  , timeout,200.0000
./mergedHard/EQ_oddEQ_multiple/libB: not equiv,0.8629  , not equiv,1.1997  , not equiv,0.3476  
./mergedHard/EQ_oddEQ_multipleBound/libA: equiv,3.5418  , equiv,3.9355  , timeout,200.0000
./mergedHard/EQ_oddEQ_multipleBound/libB: not equiv,0.8626  , not equiv,1.2176  , not equiv,0.3114  
./mergedHard/EQ_oddEQ_odd/libA: equiv,3.0683  , equiv,3.4358  , timeout,200.0000
./mergedHard/EQ_oddEQ_odd/libB: equiv,3.1088  , timeout,200.0000, timeout,200.0000
./mergedHard/EQ_oddEQ_one/libA: not equiv,0.9610  , not equiv,1.2733  , not equiv,0.8672  
./mergedHard/EQ_oddEQ_one/libB: not equiv,0.5808  , not equiv,0.8996  , not equiv,0.1693  
./mergedHard/EQ_oddEQ_oneBound/libA: not equiv,1.7045  , not equiv,2.0943  , not equiv,0.9197  
./mergedHard/EQ_oddEQ_oneBound/libB: not equiv,0.5829  , not equiv,0.9299  , not equiv,0.1740  
./mergedHard/EQ_oddEQ_oneN2/libA: not equiv,0.9342  , not equiv,1.3268  , not equiv,0.8559  
./mergedHard/EQ_oddEQ_oneN2/libB: not equiv,0.6032  , not equiv,0.9253  , not equiv,0.1927  
./mergedHard/EQ_oddEQ_pos/libA: not equiv,0.8913  , not equiv,1.2470  , not equiv,0.6980  
./mergedHard/EQ_oddEQ_pos/libB: not equiv,0.6275  , not equiv,0.9632  , not equiv,0.2486  
./mergedHard/EQ_oddEQ_pos2/libA: not equiv,0.8948  , not equiv,1.2395  , not equiv,0.7034  
./mergedHard/EQ_oddEQ_pos2/libB: equiv,37.6665 , equiv,37.9821 , timeout,200.0000
./mergedHard/EQ_oddEXTRA_prime_sum/libA: equiv,3.6591  , equiv,3.8016  , timeout,200.0000
./mergedHard/EQ_oddEXTRA_prime_sum/libB: equiv,6.2068  , equiv,4.6416  , timeout,200.0000
